PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount,QIds,QViewCounts
38604,2,36252,2015-11-26T19:59:13.827,3,,35276,,2015-11-26T19:59:13.827,,0,,37796,6454
36494,2,36493,2015-09-17T11:48:57.350,2,,13650,,2015-09-17T11:48:57.350,,0,,37820,14531
36599,2,36595,2015-09-20T23:19:33.037,1,,34754,,2015-09-20T23:56:18.593,2015-09-20T23:56:18.593,11,,37892,2191
36680,2,36674,2015-09-24T04:45:42.637,2,,5538,,2015-09-24T21:36:16.730,2015-09-24T21:36:16.730,3,,37917,12623
39146,2,36705,2015-12-08T21:41:39.440,3,,37959,,2015-12-08T21:41:39.440,,0,,37920,1210642
37970,2,36747,2015-11-07T02:15:07.797,8,,35146,,2016-08-30T19:45:10.510,2016-08-30T19:45:10.510,3,,38161,1828
87887,2,36869,2018-08-08T19:52:32.087,0,,59284,,2018-08-08T20:00:24.423,2018-08-08T20:00:24.423,0,,38186,10511
37443,2,37069,2015-10-19T19:03:49.810,2,,894,,2015-10-19T19:03:49.810,,0,,38228,4533
37120,2,37096,2015-10-09T09:14:47.710,3,,35512,,2015-10-09T09:14:47.710,2020-06-16T10:47:29.480,0,,38326,125
66508,2,37103,2017-04-30T12:40:11.670,1,,43247,,2017-04-30T14:44:15.850,2020-06-16T10:47:29.480,0,,38432,2202
37969,2,37151,2015-11-07T00:56:45.323,2,,28136,,2015-11-07T00:56:45.323,,0,,38536,4360
39879,2,37177,2015-12-22T01:01:20.760,6,,33979,,2015-12-22T01:01:20.760,,5,,38638,9629
37252,2,37225,2015-10-13T17:19:49.883,2,,14032,,2015-10-13T17:51:28.890,2015-10-13T17:51:28.890,0,,38702,3539
